vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,score_type,score
2,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,True,ascii,precision,0.4642857142857143
2,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,precision,0.07320466005912016
2,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,True,ascii,recall,0.37815126050420167
2,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.9033613445378151
2,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,roc_auc,0.6697375387415635
2,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,True,ascii,roc_auc,0.5040853204209308
2,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,True,ascii,precision,1.0
2,obscene,bern,{'alpha': 1.0},tfidf,0,0,,,True,ascii,precision,0.9005405405405406
2,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.5346573208722741
2,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,recall,0.8563084112149533
2,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,roc_auc,0.763831150751577
2,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,True,ascii,roc_auc,0.5115272900299459
2,threat,multi,{'alpha': 0.0},tfidf,0,0,,,True,ascii,precision,0.5897435897435898
2,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,ascii,precision,0.023569701853344078
2,threat,multi,{'alpha': 0.001},tfidf,0,0,,,True,ascii,recall,0.17763157894736842
2,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.7697368421052632
2,threat,multi,{'alpha': 0.001},tfidf,0,0,,,True,ascii,roc_auc,0.5885846533344982
2,threat,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,roc_auc,0.5162792694107357
2,insult,multi,{'alpha': 1.0},tfidf,0,0,,,True,ascii,precision,0.9767441860465116
2,insult,bern,{'alpha': 0.5},tfidf,0,0,,,True,ascii,precision,0.28498402555910546
2,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.45829858215179314
2,insult,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,recall,0.8502919099249374
2,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,roc_auc,0.725069458679822
2,insult,bern,{'alpha': 2.0},tfidf,0,0,,,True,ascii,roc_auc,0.5061008406406229
2,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,True,ascii,precision,0.42857142857142855
2,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,precision,0.17137355584082156
2,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,True,ascii,recall,0.21962616822429906
2,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.7897196261682243
2,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,roc_auc,0.5869405041376102
2,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,True,ascii,roc_auc,0.4997780830603403
3,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,False,ascii,precision,1.0
3,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,False,ascii,precision,0.6908734052993131
3,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.5531364518215133
3,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,recall,0.8458719551627506
3,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,roc_auc,0.7688659245002147
3,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,False,ascii,roc_auc,0.5704956108702356
3,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,False,ascii,precision,0.3967391304347826
3,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,precision,0.10427875992826031
3,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,ascii,recall,0.43907563025210083
3,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.9033613445378151
3,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,ascii,roc_auc,0.7149997653238628
3,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,False,ascii,roc_auc,0.522188939891441
3,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,False,ascii,precision,0.9924812030075187
3,obscene,bern,{'alpha': 0.5},tfidf,0,0,,,False,ascii,precision,0.3953194180898166
3,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.5440031152647975
3,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,recall,0.8469626168224299
3,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,roc_auc,0.764729836547728
3,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,False,ascii,roc_auc,0.5182861216418669
3,threat,multi,{'alpha': 0.0},tfidf,0,0,,,False,ascii,precision,0.37735849056603776
3,threat,bern,{'alpha': 0.0},tfidf,0,0,,,False,ascii,precision,0.03855232100708104
3,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,ascii,recall,0.17105263157894737
3,threat,bern,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.7302631578947368
3,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,ascii,roc_auc,0.5848959445007846
3,threat,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,roc_auc,0.5382759787620172
3,insult,multi,{'alpha': 2.0},tfidf,0,0,,,False,ascii,precision,1.0
3,insult,bern,{'alpha': 0.5},tfidf,0,0,,,False,ascii,precision,0.40364262859955696
3,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.4854045037531276
3,insult,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,recall,0.8444537114261885
3,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,roc_auc,0.7350608360644565
3,insult,bern,{'alpha': 2.0},tfidf,0,0,,,False,ascii,roc_auc,0.513570024860832
3,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,False,ascii,precision,0.33
3,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,False,ascii,precision,0.15762081784386617
3,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,False,ascii,recall,0.2523364485981308
3,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,False,ascii,recall,0.7686915887850467
3,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,False,ascii,roc_auc,0.6013829316541256
3,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,False,ascii,roc_auc,0.5028600570248513
4,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,True,unicode,precision,1.0
4,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,True,unicode,precision,0.5061198537593388
4,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.5294244449234748
4,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,recall,0.8516921750377237
4,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,roc_auc,0.7600258824468897
4,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,True,unicode,roc_auc,0.5766430445779968
4,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,True,unicode,precision,0.46254071661237783
4,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,precision,0.073665791776028
4,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,True,unicode,recall,0.37815126050420167
4,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.9033613445378151
4,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,roc_auc,0.6697269605368964
4,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,True,unicode,roc_auc,0.5040958986255978
4,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,True,unicode,precision,1.0
4,obscene,bern,{'alpha': 1.0},tfidf,0,0,,,True,unicode,precision,0.8967391304347826
4,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.5346573208722741
4,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,recall,0.8563084112149533
4,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,roc_auc,0.7638422188201991
4,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,True,unicode,roc_auc,0.5111378819302574
4,threat,multi,{'alpha': 0.0},tfidf,0,0,,,True,unicode,precision,0.5897435897435898
4,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,unicode,precision,0.02354598510766754
4,threat,multi,{'alpha': 0.0001},tfidf,0,0,,,True,unicode,recall,0.18421052631578946
4,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.7697368421052632
4,threat,multi,{'alpha': 0.001},tfidf,0,0,,,True,unicode,roc_auc,0.5885846533344982
4,threat,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,roc_auc,0.5162792694107357
4,insult,multi,{'alpha': 1.0},tfidf,0,0,,,True,unicode,precision,0.9767441860465116
4,insult,bern,{'alpha': 0.5},tfidf,0,0,,,True,unicode,precision,0.286494299020395
4,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.45829858215179314
4,insult,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,recall,0.8502919099249374
4,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,roc_auc,0.7250915118279089
4,insult,bern,{'alpha': 2.0},tfidf,0,0,,,True,unicode,roc_auc,0.5061008406406229
4,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,True,unicode,precision,0.42857142857142855
4,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,True,unicode,precision,0.1716321243523316
4,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,True,unicode,recall,0.2219626168224299
4,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,True,unicode,recall,0.7873831775700935
4,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,True,unicode,roc_auc,0.5857934147851791
4,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,True,unicode,roc_auc,0.4997780830603403
5,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,False,unicode,precision,1.0
5,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,False,unicode,precision,0.6921370470791225
5,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.5531364518215133
5,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,recall,0.8456563914636775
5,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,roc_auc,0.7688775243517367
5,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,False,unicode,roc_auc,0.5701722653216259
5,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,False,unicode,precision,0.3967391304347826
5,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,precision,0.10489690721649485
5,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,unicode,recall,0.4369747899159664
5,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.9033613445378151
5,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,unicode,roc_auc,0.7139387669511286
5,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,False,unicode,roc_auc,0.522188939891441
5,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,False,unicode,precision,0.9925373134328358
5,obscene,bern,{'alpha': 0.5},tfidf,0,0,,,False,unicode,precision,0.3967414303851037
5,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.5447819314641744
5,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,recall,0.8469626168224299
5,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,roc_auc,0.7651413807846605
5,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,False,unicode,roc_auc,0.5182861216418669
5,threat,multi,{'alpha': 0.0},tfidf,0,0,,,False,unicode,precision,0.37037037037037035
5,threat,bern,{'alpha': 0.0},tfidf,0,0,,,False,unicode,precision,0.038461538461538464
5,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,unicode,recall,0.17105263157894737
5,threat,bern,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.7302631578947368
5,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,unicode,roc_auc,0.5848959445007846
5,threat,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,roc_auc,0.538286484950162
5,insult,multi,{'alpha': 2.0},tfidf,0,0,,,False,unicode,precision,1.0
5,insult,bern,{'alpha': 0.5},tfidf,0,0,,,False,unicode,precision,0.4042920572274297
5,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.4854045037531276
5,insult,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,recall,0.8444537114261885
5,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,roc_auc,0.7350498094904131
5,insult,bern,{'alpha': 2.0},tfidf,0,0,,,False,unicode,roc_auc,0.513570024860832
5,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,False,unicode,precision,0.3316582914572864
5,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,False,unicode,precision,0.1572280178837556
5,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,False,unicode,recall,0.2523364485981308
5,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,False,unicode,recall,0.7686915887850467
5,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,False,unicode,roc_auc,0.6013829316541256
5,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,False,unicode,roc_auc,0.5028600570248513
6,toxic,multi,{'alpha': 10.0},tfidf,0,0,,english,True,,precision,0.9944444444444445
6,toxic,bern,{'alpha': 1.0},tfidf,0,0,,english,True,,precision,0.9068441064638784
6,toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.5380469928863979
6,toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,recall,0.8629014873895237
6,toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,roc_auc,0.7637223642976905
6,toxic,bern,{'alpha': 1.0},tfidf,0,0,,english,True,,roc_auc,0.7033741980174221
6,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,english,True,,precision,0.4414715719063545
6,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,precision,0.34182590233545646
6,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,english,True,,recall,0.35714285714285715
6,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.8865546218487395
6,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,roc_auc,0.6613447556016927
6,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,roc_auc,0.8316768072240426
6,obscene,multi,{'alpha': 10.0},tfidf,0,0,,english,True,,precision,1.0
6,obscene,bern,{'alpha': 0.5},tfidf,0,0,,english,True,,precision,0.7906005221932115
6,obscene,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.5362149532710281
6,obscene,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,recall,0.8691588785046729
6,obscene,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,roc_auc,0.7644882181961117
6,obscene,bern,{'alpha': 0.5},tfidf,0,0,,english,True,,roc_auc,0.7903436359467422
6,threat,multi,{'alpha': 1.0},tfidf,0,0,,english,True,,precision,0.0
6,threat,bern,{'alpha': 0.01},tfidf,0,0,,english,True,,precision,0.06740837696335078
6,threat,multi,{'alpha': 0.001},tfidf,0,0,,english,True,,recall,0.16447368421052633
6,threat,bern,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.6776315789473685
6,threat,multi,{'alpha': 0.001},tfidf,0,0,,english,True,,roc_auc,0.5820162121542221
6,threat,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,roc_auc,0.5063688236055246
6,insult,multi,{'alpha': 2.0},tfidf,0,0,,english,True,,precision,1.0
6,insult,bern,{'alpha': 0.5},tfidf,0,0,,english,True,,precision,0.7425867507886436
6,insult,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.4653878231859883
6,insult,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,recall,0.8544620517097581
6,insult,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,roc_auc,0.7283163616977466
6,insult,bern,{'alpha': 0.5},tfidf,0,0,,english,True,,roc_auc,0.7409140018269719
6,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,english,True,,precision,0.4340659340659341
6,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,precision,0.323943661971831
6,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,english,True,,recall,0.21728971962616822
6,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,english,True,,recall,0.735981308411215
6,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,english,True,,roc_auc,0.5893614925222782
6,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,english,True,,roc_auc,0.6318096007964121
7,toxic,multi,{'alpha': 10.0},tfidf,0,0,,english,False,,precision,1.0
7,toxic,bern,{'alpha': 1.0},tfidf,0,0,,english,False,,precision,0.8073170731707318
7,toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,recall,0.5621901271825824
7,toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,recall,0.8570812675145506
7,toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,roc_auc,0.7729287681198733
7,toxic,bern,{'alpha': 1.0},tfidf,0,0,,english,False,,roc_auc,0.6737970196318197
7,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,english,False,,precision,0.3917808219178082
7,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,precision,0.2540983606557377
7,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,english,False,,recall,0.4264705882352941
7,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,english,False,,recall,0.8634453781512605
7,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,roc_auc,0.7057258132905985
7,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,roc_auc,0.7844036772683982
7,obscene,multi,{'alpha': 10.0},tfidf,0,0,,english,False,,precision,1.0
7,obscene,bern,{'alpha': 0.5},tfidf,0,0,,english,False,,precision,0.66070489216202
7,obscene,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,recall,0.552570093457944
7,obscene,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,recall,0.8574766355140186
7,obscene,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,roc_auc,0.768946917232569
7,obscene,bern,{'alpha': 0.5},tfidf,0,0,,english,False,,roc_auc,0.7374093823431549
7,threat,multi,{'alpha': 0.5},tfidf,0,0,,english,False,,precision,0.0
7,threat,bern,{'alpha': 0.01},tfidf,0,0,,english,False,,precision,0.0630119722747322
7,threat,multi,{'alpha': 0.001},tfidf,0,0,,english,False,,recall,0.16447368421052633
7,threat,bern,{'alpha': 0.001},tfidf,0,0,,english,False,,recall,0.625
7,threat,multi,{'alpha': 0.001},tfidf,0,0,,english,False,,roc_auc,0.5817115326980223
7,threat,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,roc_auc,0.5352071350288478
7,insult,multi,{'alpha': 2.0},tfidf,0,0,,english,False,,precision,1.0
7,insult,bern,{'alpha': 0.5},tfidf,0,0,,english,False,,precision,0.6013513513513513
7,insult,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,recall,0.49124270225187655
7,insult,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,recall,0.841534612176814
7,insult,multi,{'alpha': 0.01},tfidf,0,0,,english,False,,roc_auc,0.737682217814658
7,insult,bern,{'alpha': 0.5},tfidf,0,0,,english,False,,roc_auc,0.696972193812777
7,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,english,False,,precision,0.32673267326732675
7,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,english,False,,precision,0.1692047377326565
7,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,english,False,,recall,0.24766355140186916
